temperature	helm_energy	Cv
0.0	-8.773669187249999	0.0
2.0	-8.773669187249999	0.0
4.0	-8.773669187249999	1.16125e-05
6.0	-8.773669187374999	5.87375e-05
8.0	-8.773669187874999	0.0001484
10.0	-8.773669189125	0.0002929875
12.0	-8.773669191625	0.00050755
14.0	-8.773669195875	0.0008070125
16.0	-8.77366920225	0.0012061375
18.0	-8.773669211749999	0.0017197125
20.0	-8.773669225125	0.0023626875
22.0	-8.77366924325	0.0031502375
24.0	-8.773669266999999	0.0040978125
26.0	-8.773669297625	0.0052211625
28.0	-8.773669336374999	0.00653645
30.0	-8.773669384375	0.0080602375
32.0	-8.773669443125	0.0098095625
34.0	-8.773669514125	0.0118020625
36.0	-8.773669599125	0.014056025
38.0	-8.77366969975	0.0165905
40.0	-8.77366981775	0.01942545
42.0	-8.77366995525	0.0225818375
44.0	-8.773670114249999	0.02608185
46.0	-8.773670296999999	0.0299489875
48.0	-8.77367050575	0.0342082375
50.0	-8.773670743	0.0388862125
52.0	-8.7736710115	0.04401125
54.0	-8.773671313749999	0.0496135125
56.0	-8.77367165275	0.0557249625
58.0	-8.773672031624999	0.062379425
60.0	-8.7736724535	0.0696125
62.0	-8.773672921874999	0.077461475
64.0	-8.773673440125	0.085965175
66.0	-8.77367401225	0.0951638
68.0	-8.773674642	0.10509875
70.0	-8.773675333624999	0.11581235
72.0	-8.773676091375	0.1273476125
74.0	-8.773676919875	0.1397480125
76.0	-8.773677824	0.1530572125
78.0	-8.773678808749999	0.1673188
80.0	-8.773679879249999	0.182576025
82.0	-8.773681041	0.1988715875
84.0	-8.773682299874999	0.216247375
86.0	-8.773683661749999	0.2347443
88.0	-8.77368513275	0.25440205
90.0	-8.773686719499999	0.2752589125
92.0	-8.7736884285	0.2973517
94.0	-8.773690266874999	0.3207155
96.0	-8.77369224175	0.3453836375
98.0	-8.773694360499999	0.371387525
100.0	-8.773696631	0.398756625
102.0	-8.773699060875	0.42751835
104.0	-8.7737016585	0.4576980125
106.0	-8.773704432125	0.489318775
108.0	-8.7737073905	0.522401675
110.0	-8.773710542249999	0.5569655375
112.0	-8.773713896624999	0.5930270375
114.0	-8.77371746275	0.63060065
116.0	-8.773721250249999	0.6696986875
118.0	-8.773725268625	0.71033135
120.0	-8.773729527875	0.75250665
122.0	-8.773734037999999	0.7962305875
124.0	-8.773738809125	0.84150705
126.0	-8.77374385175	0.8883379375
128.0	-8.773749176374999	0.9367232125
130.0	-8.77375479375	0.9866608625
132.0	-8.773760714624999	1.03814705
134.0	-8.77376695025	1.091176125
136.0	-8.7737735115	1.14574065
138.0	-8.773780409875	1.2018315125
140.0	-8.7737876565	1.2594379625
142.0	-8.773795263	1.3185476625
144.0	-8.773803241	1.3791467625
146.0	-8.773811601999999	1.441219975
148.0	-8.773820357875	1.5047506
150.0	-8.7738295205	1.56972065
152.0	-8.77383910175	1.6361108375
154.0	-8.773849113499999	1.7039007125
156.0	-8.77385956775	1.773068675
158.0	-8.77387047675	1.8435921
160.0	-8.773881852499999	1.9154473375
162.0	-8.773893707	1.9886098
164.0	-8.773906052625	2.06305405
166.0	-8.773918901375	2.1387538375
168.0	-8.7739322655	2.2156821625
170.0	-8.773946157125	2.2938113375
172.0	-8.7739605885	2.373113075
174.0	-8.773975571874999	2.453558525
176.0	-8.773991119125	2.5351182875
178.0	-8.774007242625	2.617762575
180.0	-8.774023954375	2.7014611625
182.0	-8.774041266374999	2.7861835
184.0	-8.77405919075	2.8718987625
186.0	-8.7740777395	2.9585758625
188.0	-8.7740969245	3.04618355
190.0	-8.774116757624999	3.1346904
192.0	-8.774137250625	3.224064925
194.0	-8.77415841525	3.3142755625
196.0	-8.774180263249999	3.40529075
198.0	-8.774202806249999	3.4970789625
200.0	-8.774226055749999	3.5896087
202.0	-8.774250023125	3.682848625
204.0	-8.77427471975	3.7767675
206.0	-8.774300156999999	3.871334275
208.0	-8.774326345875	3.9665180875
210.0	-8.7743532975	4.0622883125
212.0	-8.774381023	4.1586146
214.0	-8.774409533	4.255466875
216.0	-8.7744388385	4.35281535
218.0	-8.77446895	4.4506306125
220.0	-8.77449987825	4.548883575
222.0	-8.774531633499999	4.6475455375
224.0	-8.774564225999999	4.746588175
226.0	-8.77459766625	4.845983575
228.0	-8.774631964125	4.9457042875
230.0	-8.77466712975	5.0457232375
232.0	-8.77470317275	5.1460138375
234.0	-8.774740103	5.2465499625
236.0	-8.774777930125	5.34730595
238.0	-8.774816663625	5.4482566125
240.0	-8.77485631275	5.5493772625
242.0	-8.774896886625	5.6506437
244.0	-8.774938394625	5.752032225
246.0	-8.7749808455	5.8535196625
248.0	-8.77502424825	5.9550833125
250.0	-8.775068611375	6.0567010125
252.0	-8.775113943625	6.1583511
254.0	-8.775160253374999	6.26001245
256.0	-8.775207549	6.3616644125
258.0	-8.7752558385	6.4632869
260.0	-8.775305130125	6.5648603
262.0	-8.775355431749999	6.6663655375
264.0	-8.775406751	6.7677840375
266.0	-8.77545909575	6.869097725
268.0	-8.7755124735	6.97028905
270.0	-8.775566891499999	7.07134095
272.0	-8.775622357125	7.1722368625
274.0	-8.775678877375	7.2729607
276.0	-8.7757364595	7.3734968875
278.0	-8.775795110125	7.473830325
280.0	-8.77585483625	7.5739463875
282.0	-8.775915644249999	7.6738308875
284.0	-8.775977540749999	7.7734701625
286.0	-8.776040532125	7.87285095
288.0	-8.7761046245	7.9719604625
290.0	-8.776169824124999	8.0707863625
292.0	-8.776236137	8.1693167375
294.0	-8.776303568874999	8.2675401
296.0	-8.776372125624999	8.3654453875
298.0	-8.776441812875	8.4630219625
300.0	-8.776512636	8.560259575
302.0	-8.7765846005	8.6571483875
304.0	-8.776657711624999	8.75367895
306.0	-8.776731974625	8.849842175
308.0	-8.776807394375	8.9456293875
310.0	-8.776883975999999	9.0410322625
312.0	-8.776961724	9.1360428125
314.0	-8.7770406435	9.2306534375
316.0	-8.77712073875	9.32485685
318.0	-8.777202014375	9.4186461125
320.0	-8.777284474624999	9.5120146375
322.0	-8.777368123999999	9.6049561
324.0	-8.7774529665	9.69746455
326.0	-8.777539006125	9.7895343
328.0	-8.777626246999999	9.8811599875
330.0	-8.777714692875	9.9723365
332.0	-8.7778043475	10.0630590625
334.0	-8.777895214499999	10.1533231125
336.0	-8.7779872975	10.243124425
338.0	-8.7780806	10.3324589625
340.0	-8.778175125125	10.421323
342.0	-8.778270876375	10.509713025
344.0	-8.77836785675	10.597625775
346.0	-8.778466069375	10.6850582125
348.0	-8.778565517375	10.77200755
350.0	-8.7786662035	10.8584711875
352.0	-8.7787681305	10.9444467625
354.0	-8.77887130125	11.0299321
356.0	-8.778975718249999	11.1149252375
358.0	-8.779081384125	11.1994244
360.0	-8.779188301375	11.2834280125
362.0	-8.779296472375	11.3669346625
364.0	-8.77940589925	11.44994315
366.0	-8.7795165845	11.5324524
368.0	-8.77962853	11.614461525
370.0	-8.779741738	11.6959698125
372.0	-8.779856210375	11.7769766875
374.0	-8.779971949124999	11.8574817125
376.0	-8.780088956124999	11.937484625
378.0	-8.780207232875	12.0169852875
380.0	-8.780326781374999	12.0959836875
382.0	-8.780447603125	12.1744799625
384.0	-8.78056969975	12.2524743625
386.0	-8.7806930725	12.3299672625
388.0	-8.780817723124999	12.40695915
390.0	-8.780943652749999	12.483450625
392.0	-8.78107086275	12.5594424
394.0	-8.781199354249999	12.6349353125
396.0	-8.7813291285	12.70993025
398.0	-8.781460186624999	12.7844282375
400.0	-8.7815925295	12.8584303875
402.0	-8.781726158375	12.9319378875
404.0	-8.781861073875	13.0049520125
406.0	-8.781997276999999	13.07747415
408.0	-8.782134768625	13.1495057125
410.0	-8.782273549374999	13.221048225
412.0	-8.78241362	13.2921032875
414.0	-8.782554980999999	13.36267255
416.0	-8.782697633249999	13.4327577375
418.0	-8.782841577	13.50236065
420.0	-8.782986812874999	13.5714831125
422.0	-8.78313334125	13.64012705
424.0	-8.7832811625	13.708294425
426.0	-8.783430276999999	13.7759872375
428.0	-8.783580684999999	13.8432075625
430.0	-8.78373238675	13.9099575
432.0	-8.7838853825	13.976239225
434.0	-8.784039672375	14.0420549125
436.0	-8.784195256375	14.107406825
438.0	-8.784352134625	14.1722972375
440.0	-8.784510307125	14.23672845
442.0	-8.784669773874999	14.300702825
444.0	-8.784830534874999	14.3642227375
446.0	-8.784992589875	14.4272906
448.0	-8.785155938874999	14.48990885
450.0	-8.785320581499999	14.5520799625
452.0	-8.78548651775	14.6138064375
454.0	-8.785653747249999	14.6750907625
456.0	-8.785822269625	14.7359355
458.0	-8.785992084624999	14.7963432
460.0	-8.786163192	14.8563164375
462.0	-8.786335591124999	14.9158578125
464.0	-8.786509281625	14.974969925
466.0	-8.786684263125	15.0336554125
468.0	-8.786860535125	15.0919169
470.0	-8.787038096875	15.14975705
472.0	-8.787216948125	15.2071785125
474.0	-8.787397087999999	15.2641839625
476.0	-8.787578516124999	15.3207760875
478.0	-8.7877612315	15.37695755
480.0	-8.787945233875	15.4327310625
482.0	-8.788130522125	15.4880993
484.0	-8.78831709575	15.543065
486.0	-8.788504953999999	15.5976308375
488.0	-8.788694095999999	15.651799525
490.0	-8.788884520875	15.7055737875
492.0	-8.78907622775	15.7589563125
494.0	-8.789269216	15.8119498125
496.0	-8.789463484499999	15.8645570125
498.0	-8.789659032374999	15.9167806125
500.0	-8.78985585875	15.9686233125
502.0	-8.7900539625	16.0200878125
504.0	-8.790253342875	16.0711768125
506.0	-8.79045399875	16.1218930125
508.0	-8.790655929	16.1722390875
510.0	-8.790859132625	16.222217725
512.0	-8.791063608624999	16.2718316
514.0	-8.791269355874999	16.3210833875
516.0	-8.79147637325	16.36997575
518.0	-8.791684659625	16.4185113375
520.0	-8.791894213874999	16.4666928
522.0	-8.79210503475	16.514522775
524.0	-8.792317121	16.5620039
526.0	-8.792530471625	16.609138775
528.0	-8.792745085375	16.6559300125
530.0	-8.79296096075	16.702380225
532.0	-8.793178096875	16.748492
534.0	-8.793396492125	16.7942679
536.0	-8.7936161455	16.8397105125
538.0	-8.7938370555	16.884822375
540.0	-8.794059220874999	16.9296060375
542.0	-8.79428264025	16.974064025
544.0	-8.794507312375	17.0181988625
546.0	-8.794733235874999	17.0620130625
548.0	-8.794960409249999	17.1055091
550.0	-8.79518883125	17.148689475
552.0	-8.795418500499999	17.1915566375
554.0	-8.795649415375	17.23411305
556.0	-8.795881574625	17.2763611375
558.0	-8.796114976875	17.31830335
560.0	-8.7963496205	17.359942075
562.0	-8.796585504125	17.401279725
564.0	-8.79682262625	17.442318675
566.0	-8.7970609855	17.4830612875
568.0	-8.797300580249999	17.5235099375
570.0	-8.797541408999999	17.56366695
572.0	-8.797783470375	17.60353465
574.0	-8.79802676275	17.6431153375
576.0	-8.7982712845	17.682411325
578.0	-8.798517034375	17.7214248875
580.0	-8.7987640105	17.7601582875
582.0	-8.7990122115	17.7986137625
584.0	-8.79926163575	17.8367935625
586.0	-8.79951228175	17.8746999
588.0	-8.799764147874999	17.912334975
590.0	-8.8000172325	17.9497009875
592.0	-8.800271534124999	17.9868001
594.0	-8.800527051	18.0236344625
596.0	-8.8007837815	18.0602062375
598.0	-8.80104172425	18.0965175375
