temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
0.0	-8.841685250125	-8.871602941499999	-8.894062914625	-8.9096515795	-8.918739574875001	-8.921683952625001	-8.918821179124999	-8.910430958000001	-8.89670308025	-8.877790001000001	-8.85391771375
2.0	-8.841685250125	-8.871602941499999	-8.894062914625	-8.9096515795	-8.918739574875001	-8.921683952625001	-8.918821179124999	-8.910430958000001	-8.89670308025	-8.877790001000001	-8.85391771375
4.0	-8.841685250125	-8.871602941499999	-8.894062914625	-8.9096515795	-8.918739574875001	-8.921683952625001	-8.918821179124999	-8.910430958125001	-8.89670308025	-8.877790001000001	-8.85391771375
6.0	-8.841685250125	-8.871602941625	-8.89406291475	-8.909651579624999	-8.918739574875001	-8.921683952750001	-8.918821179124999	-8.910430958125001	-8.89670308025	-8.877790001125	-8.853917713875001
8.0	-8.8416852505	-8.871602941875	-8.894062915125	-8.90965158	-8.918739575250001	-8.921683953125001	-8.9188211795	-8.910430958500001	-8.896703080625	-8.877790001500001	-8.853917714125
10.0	-8.841685251374999	-8.87160294275	-8.894062916000001	-8.909651580875	-8.918739576125	-8.921683954	-8.918821180375	-8.910430959375	-8.8967030815	-8.877790002375	-8.853917715125
12.0	-8.841685253125	-8.8716029445	-8.894062917625	-8.9096515825	-8.918739577750001	-8.921683955625001	-8.918821182	-8.910430961000001	-8.896703083124999	-8.877790004000001	-8.85391771675
14.0	-8.841685256124999	-8.871602947374999	-8.8940629205	-8.90965158525	-8.918739580625001	-8.921683958375	-8.918821184875	-8.910430963875001	-8.896703086	-8.877790006875001	-8.853917719625
16.0	-8.841685260624999	-8.871602951875	-8.894062924875	-8.90965158975	-8.918739585	-8.92168396275	-8.91882118925	-8.910430968250001	-8.896703090375	-8.877790011375001	-8.853917724125
18.0	-8.84168526725	-8.871602958375	-8.8940629315	-8.909651596125	-8.918739591375001	-8.921683969	-8.918821195625	-8.910430974625001	-8.896703096875	-8.877790017875	-8.85391773075
20.0	-8.841685276624998	-8.871602967625	-8.894062940625	-8.90965160525	-8.9187396005	-8.921683978	-8.918821204624999	-8.91043098375	-8.896703106	-8.877790027000001	-8.85391774
22.0	-8.84168528925	-8.871602980125	-8.894062953	-8.9096516175	-8.91873961275	-8.921683990125	-8.918821216875	-8.910430996	-8.896703118375	-8.8777900395	-8.853917752625001
24.0	-8.841685305999999	-8.871602996624999	-8.894062969250001	-8.90965163375	-8.918739628875	-8.921684006000001	-8.918821233125	-8.910431012125	-8.896703134625	-8.877790055875	-8.853917769125001
26.0	-8.841685327499999	-8.871603017875	-8.894062990250001	-8.909651654625	-8.918739649625001	-8.921684026625	-8.918821253874999	-8.910431033	-8.8967031555	-8.877790077	-8.8539177905
28.0	-8.8416853545	-8.871603044625	-8.894063016875	-8.909651681	-8.918739676000001	-8.921684052625	-8.918821280125	-8.910431059250001	-8.896703181874999	-8.877790103625001	-8.853917817375
30.0	-8.84168538825	-8.871603077875	-8.89406304975	-8.90965171375	-8.918739708625	-8.921684084875	-8.918821312624999	-8.910431092000001	-8.89670321475	-8.877790136625	-8.853917850875
32.0	-8.8416854295	-8.871603118625	-8.894063090125	-8.90965175375	-8.9187397485	-8.921684124375	-8.9188213525	-8.910431131875	-8.896703254875	-8.877790177125	-8.853917891750001
34.0	-8.84168547925	-8.87160316775	-8.89406313875	-8.90965180225	-8.91873979675	-8.921684172	-8.91882140075	-8.91043118025	-8.896703303499999	-8.877790226	-8.853917941250002
36.0	-8.841685538875	-8.871603226625	-8.894063197	-8.909651860124999	-8.918739854375001	-8.921684229125	-8.918821458375	-8.910431238000001	-8.8967033615	-8.877790284500001	-8.853918000375002
38.0	-8.841685609374998	-8.871603296249999	-8.894063266	-8.909651928625	-8.918739922750001	-8.921684296750001	-8.918821526624999	-8.910431306375001	-8.89670343025	-8.877790353750001	-8.8539180705
40.0	-8.841685692124999	-8.871603378	-8.894063347	-8.909652009	-8.918740002875001	-8.921684376	-8.918821606625	-8.910431386625001	-8.896703510875	-8.877790435000001	-8.853918152750001
42.0	-8.8416857885	-8.87160347325	-8.894063441250001	-8.909652102625	-8.918740096125001	-8.921684468375	-8.918821699875	-8.910431480000002	-8.89670360475	-8.877790529750001	-8.853918248500001
44.0	-8.8416859	-8.87160358325	-8.894063550250001	-8.909652211	-8.918740204	-8.921684575250001	-8.91882180775	-8.910431588125	-8.896703713375	-8.877790639250001	-8.85391835925
46.0	-8.841686028124998	-8.87160370975	-8.8940636755	-8.909652335375	-8.918740328	-8.921684698125	-8.918821931624999	-8.910431712375	-8.89670383825	-8.877790765	-8.853918486500001
48.0	-8.841686174374999	-8.871603854249999	-8.894063818500001	-8.9096524775	-8.91874046975	-8.921684838375	-8.918822073125	-8.910431854250001	-8.896703980875	-8.87779090875	-8.853918632000001
50.0	-8.84168634075	-8.8716040185	-8.894063981125	-8.909652639125	-8.918740630625	-8.921684997875001	-8.918822234	-8.910432015375001	-8.896704143	-8.877791072125001	-8.853918797375
52.0	-8.841686528875	-8.871604204125	-8.894064165	-8.909652821749999	-8.918740812625	-8.921685178375	-8.918822415874999	-8.910432197750001	-8.89670432625	-8.877791257	-8.853918984375001
54.0	-8.841686740624999	-8.87160441325	-8.894064372125001	-8.9096530275	-8.918741017625	-8.921685381500001	-8.91882262075	-8.910432403125	-8.896704532625	-8.877791465125	-8.853919195000001
56.0	-8.841686978124999	-8.871604647749999	-8.89406460425	-8.909653258125	-8.9187412475	-8.921685609375	-8.918822850375	-8.910432633375	-8.896704764125	-8.877791698500001	-8.85391943125
58.0	-8.8416872435	-8.871604909875	-8.89406486375	-8.909653515875	-8.91874150425	-8.921685864	-8.918823106875	-8.910432890625001	-8.896705022875	-8.877791959375001	-8.853919695250001
60.0	-8.841687538999999	-8.8716052015	-8.8940651525	-8.90965380275	-8.91874179	-8.921686147625001	-8.918823392624999	-8.910433177000002	-8.896705310875	-8.877792249750001	-8.85391998925
62.0	-8.841687867	-8.871605525249999	-8.894065473125	-8.909654121125	-8.91874210725	-8.921686462375	-8.9188237095	-8.910433494875	-8.8967056305	-8.877792572125001	-8.853920315625
64.0	-8.841688229874999	-8.8716058835	-8.89406582775	-8.9096544735	-8.918742458125001	-8.921686810625001	-8.91882406025	-8.9104338465	-8.896705984125	-8.877792928875001	-8.853920676875001
66.0	-8.841688630375	-8.871606278875	-8.894066219125	-8.909654862125	-8.918742845375	-8.921687195	-8.91882444725	-8.910434234625	-8.896706374499999	-8.877793322625001	-8.8539210755
