temperature	strain-1_cv	strain-2_cv	strain-3_cv	strain-4_cv	strain-5_cv	strain-6_cv	strain-7_cv	strain-8_cv	strain-9_cv	strain-10_cv	strain-11_cv
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.0	3.9875e-06	4.4e-06	4.8375e-06	5.35e-06	5.9e-06	6.525e-06	7.2125e-06	7.9875e-06	8.8625e-06	9.8375e-06	1.0975e-05
6.0	2.6e-05	2.7825e-05	2.97875e-05	3.2e-05	3.44375e-05	3.7125e-05	4.01125e-05	4.34375e-05	4.71875e-05	5.13e-05	5.61e-05
8.0	6.87375e-05	7.31625e-05	7.795e-05	8.33375e-05	8.9275e-05	9.58625e-05	0.0001031375	0.00011125	0.000120375	0.0001304	0.000142025
10.0	0.0001367625	0.0001454875	0.0001549375	0.0001655375	0.0001772125	0.00019015	0.000204425	0.0002203375	0.0002382125	0.0002578125	0.000280525
12.0	0.0002373625	0.0002524875	0.00026885	0.000287225	0.000307425	0.0003298125	0.0003544875	0.0003819875	0.0004128875	0.000446775	0.0004860125
14.0	0.000377675	0.000401725	0.0004277375	0.000456925	0.000489025	0.0005246	0.0005638125	0.000607525	0.000656625	0.00071045	0.0007727875
16.0	0.00056465	0.000600575	0.00063945	0.0006830625	0.000731025	0.0007841875	0.000842775	0.0009080875	0.0009814625	0.0010618875	0.001155
18.0	0.0008052375	0.0008564625	0.000911875	0.00097405	0.0010424375	0.0011182375	0.0012017625	0.0012948875	0.0013994875	0.001514125	0.0016468375
20.0	0.0011065	0.0011768625	0.0012529875	0.0013384125	0.001432375	0.0015365	0.00165125	0.0017791875	0.0019228875	0.0020803375	0.0022626
22.0	0.0014755625	0.001569375	0.001670875	0.001784775	0.00191005	0.0020488875	0.0022018875	0.0023724625	0.0025640375	0.002773925	0.00301685
24.0	0.001919725	0.00204175	0.0021737625	0.002321925	0.002484875	0.0026654875	0.0028645	0.003086375	0.0033355375	0.003608525	0.0039243875
26.0	0.0024464	0.0026018625	0.00277005	0.0029588375	0.00316645	0.003396575	0.00365015	0.0039328375	0.004250275	0.0045980125	0.0050003125
28.0	0.0030631875	0.0032577875	0.0034683375	0.003704675	0.0039645875	0.0042526875	0.00457015	0.004924025	0.0053213875	0.00575665	0.0062600875
30.0	0.0037778875	0.004017825	0.004277425	0.0045688375	0.0048893375	0.005244625	0.0056360875	0.0060724625	0.0065624125	0.00709905	0.0077196
32.0	0.0045985	0.0048904625	0.005206375	0.005561025	0.0059510875	0.0063834875	0.0068599125	0.0073909875	0.007987225	0.008640225	0.0093951875
34.0	0.0055332875	0.0058845	0.0062645375	0.0066912	0.007160475	0.007680725	0.00825395	0.0088928875	0.0096101875	0.0103957375	0.0113037375
36.0	0.0065908125	0.007009025	0.007461575	0.0079696875	0.0085285875	0.0091482125	0.0098309375	0.010591925	0.011446175	0.012381675	0.01346275
38.0	0.0077799625	0.0082734625	0.008807525	0.0094072125	0.0100668875	0.010798275	0.01160415	0.0125024	0.013510675	0.0146147875	0.0158904625
40.0	0.0091099875	0.0096876625	0.0103128625	0.0110149625	0.0117873625	0.012643775	0.0135874375	0.01463925	0.0158198375	0.0171126375	0.0186059875
42.0	0.0105906125	0.011261925	0.011988575	0.012804675	0.0137025625	0.0146982125	0.0157953125	0.0170181625	0.018390675	0.019893625	0.0216293875
44.0	0.012232025	0.013007125	0.0138462	0.0147886875	0.0158257375	0.0169758	0.0182430875	0.019655675	0.0212410875	0.0229772	0.02498185
46.0	0.01404505	0.014934725	0.01589795	0.0169800375	0.01817085	0.01949155	0.0209469625	0.022569275	0.0243900625	0.02638395	0.0286858625
48.0	0.0160411625	0.0170569125	0.0181567875	0.0193925875	0.02075275	0.02226145	0.0239241375	0.0257775625	0.027857725	0.0301357625	0.0327652875
50.0	0.0182325875	0.0193866625	0.0206365125	0.0220411	0.02358725	0.025302475	0.0271929	0.029300325	0.03166555	0.0342559375	0.0372455625
52.0	0.020632375	0.0219378375	0.0233518625	0.024941275	0.0266911875	0.028632725	0.0307727625	0.0331586	0.0358363625	0.0387692625	0.0421537625
