temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
0.0	-8.6851477055	-8.771506569625	-8.836170771125	-8.881391211125	-8.908878471	-8.920880323625	-8.9189171905	-8.904523254375	-8.878782567625	-8.843277277875	-8.7990016815
2.0	-8.6851477055	-8.771506569625	-8.836170771125	-8.881391211125	-8.908878471	-8.920880323625	-8.9189171905	-8.904523254375	-8.878782567625	-8.843277277875	-8.7990016815
4.0	-8.685147705625	-8.771506569625	-8.836170771125	-8.881391211125	-8.908878471	-8.920880323625	-8.9189171905	-8.904523254375	-8.878782567625	-8.843277277875	-8.7990016815
6.0	-8.685147705625	-8.771506569625	-8.83617077125	-8.881391211250001	-8.908878471125	-8.92088032375	-8.918917190625	-8.904523254375	-8.87878256775	-8.843277278	-8.799001681625
8.0	-8.685147705875	-8.771506569875001	-8.836170771499999	-8.8813912115	-8.908878471375	-8.920880324125	-8.918917191	-8.90452325475	-8.878782568125	-8.8432772785	-8.799001682125
10.0	-8.685147706375	-8.7715065705	-8.836170772125	-8.88139121225	-8.908878472125	-8.920880324875	-8.918917191875	-8.90452325575	-8.87878256925	-8.843277279625001	-8.799001683375002
12.0	-8.6851477075	-8.77150657175	-8.836170773374999	-8.881391213625001	-8.908878473625	-8.920880326499999	-8.918917193625	-8.904523257625	-8.87878257125	-8.84327728175	-8.799001685750001
14.0	-8.6851477095	-8.77150657375	-8.836170775625	-8.881391216	-8.908878476125	-8.920880329125	-8.9189171965	-8.90452326075	-8.878782574625	-8.843277285375	-8.79900168975
16.0	-8.685147712500001	-8.771506576875	-8.836170779	-8.881391219625	-8.90887848	-8.920880333374999	-8.918917201	-8.904523265625	-8.878782579875	-8.843277291125	-8.799001695875
18.0	-8.685147716875	-8.771506581625001	-8.836170784	-8.881391224875001	-8.90887848575	-8.9208803395	-8.918917207625	-8.90452327275	-8.8787825875	-8.8432772995	-8.799001705
20.0	-8.685147723125	-8.77150658825	-8.836170790999999	-8.8813912325	-8.908878493875001	-8.920880348125	-8.918917216875	-8.90452328275	-8.878782598375	-8.843277311125	-8.79900171775
22.0	-8.6851477315	-8.771506597250001	-8.836170800624998	-8.881391242625	-8.90887850475	-8.920880359875	-8.9189172295	-8.904523296375	-8.878782613124999	-8.843277327125001	-8.799001735000001
