temperature	helm_energy	Cv
0.0	-8.920880323625	0.0
2.0	-8.920880323625	0.0
4.0	-8.920880323625	6.525e-06
6.0	-8.92088032375	3.7125e-05
8.0	-8.920880324125	9.58625e-05
10.0	-8.920880324875	0.00019015
12.0	-8.920880326499999	0.0003298125
14.0	-8.920880329125	0.0005246
16.0	-8.920880333374999	0.0007841875
18.0	-8.9208803395	0.0011182375
20.0	-8.920880348125	0.0015365
22.0	-8.920880359875	0.0020488875
24.0	-8.920880375374999	0.0026654875
26.0	-8.92088039525	0.003396575
28.0	-8.920880420375	0.0042526875
30.0	-8.920880451624999	0.005244625
32.0	-8.92088048975	0.0063834875
34.0	-8.920880535999999	0.007680725
36.0	-8.920880591249999	0.0091482125
38.0	-8.920880656625	0.010798275
40.0	-8.920880733375	0.012643775
42.0	-8.920880822874999	0.0146982125
44.0	-8.92088092625	0.0169758
46.0	-8.920881045125	0.01949155
48.0	-8.920881180999999	0.02226145
50.0	-8.920881335375	0.025302475
52.0	-8.92088151	0.028632725
54.0	-8.920881706749999	0.0322715125
56.0	-8.920881927249999	0.036239375
58.0	-8.92088217375	0.0405581625
60.0	-8.92088244825	0.0452509625
62.0	-8.920882752874999	0.0503421375
64.0	-8.92088309	0.0558572375
66.0	-8.920883462125	0.0618229
68.0	-8.920883871625	0.068266725
70.0	-8.92088432125	0.075217175
72.0	-8.920884813999999	0.0827033625
74.0	-8.920885352625	0.0907549125
76.0	-8.920885940375	0.0994017875
78.0	-8.920886580374999	0.10867405
80.0	-8.92088727625	0.1186017125
82.0	-8.92088803125	0.1292145625
84.0	-8.920888849499999	0.1405419625
86.0	-8.9208897345	0.1526126875
88.0	-8.920890690624999	0.1654547875
90.0	-8.920891721875	0.1790954125
92.0	-8.920892832875	0.19356075
94.0	-8.920894028	0.2088758625
96.0	-8.920895311874999	0.225064625
98.0	-8.92089668975	0.242149625
100.0	-8.920898166375	0.2601521625
102.0	-8.920899747	0.27909215
104.0	-8.920901437249999	0.2989881125
106.0	-8.920903242375	0.3198571625
108.0	-8.92090516825	0.341715025
110.0	-8.92090722075	0.3645759875
112.0	-8.920909405749999	0.3884529875
114.0	-8.9209117295	0.4133575875
