T	K	Eh	Gh	hc	nu
0.0	440.884	1162.2373	548.3426	100.322	0.0708
2.0	440.8444181777777	1162.1234	548.287	100.3158	0.0708
4.0	440.80483635555555	1162.0096	548.2313	100.3097	0.0708
6.0	440.7652545333333	1161.8958	548.1757	100.3036	0.0708
8.0	440.72567271111114	1161.782	548.1201	100.2974	0.0708
10.0	440.6860908888889	1161.6681	548.0645	100.2913	0.0708
12.0	440.6465090666666	1161.5543	548.0089	100.2755	0.0708
14.0	440.6069272444444	1161.4403	547.9532	100.2693	0.0708
16.0	440.5673454222222	1161.3264	547.8976	100.2632	0.0708
18.0	440.5277635999999	1161.2126	547.842	100.2571	0.0708
20.0	440.48818177777775	1161.0988	547.7865	100.2509	0.0708
22.0	440.4485999555555	1160.9849	547.7308	100.2448	0.0708
24.0	440.40901813333335	1160.871	547.6752	100.2387	0.0708
26.0	440.3694363111111	1160.7572	547.6196	100.2228	0.0708
28.0	440.3298544888889	1160.6434	547.564	100.2167	0.0708
30.0	440.2902726666666	1160.5296	547.5084	100.2106	0.0708
32.0	440.2506908444445	1160.4156	547.4528	100.2044	0.0708
34.0	440.2111090222222	1160.3018	547.3972	100.1983	0.0708
36.0	440.17152719999996	1160.188	547.3416	100.1922	0.0708
38.0	440.13194537777775	1160.074	547.286	100.186	0.0708
40.0	440.09236355555555	1159.9602	547.2304	100.1702	0.0708
42.0	440.05278173333335	1159.8464	547.1747	100.1641	0.0708
44.0	440.01319991111114	1159.7325	547.1192	100.1579	0.0708
46.0	439.9736180888888	1159.6186	547.0636	100.1518	0.0709
48.0	439.9340362666667	1159.5048	547.0079	100.1457	0.0709
50.0	439.8944544444444	1159.3909	546.9523	100.1395	0.0709
52.0	439.8548726222222	1159.2771	546.8967	100.1334	0.0709
54.0	439.81529079999996	1159.1632	546.8411	100.1176	0.0709
56.0	439.7757089777778	1159.0494	546.7855	100.1114	0.0709
58.0	439.73612715555555	1158.9354	546.7298	100.1053	0.0709
60.0	439.6965453333334	1158.8216	546.6742	100.0991	0.0709
62.0	439.6569635111111	1158.7078	546.6186	100.093	0.0709
64.0	439.6173816888889	1158.594	546.5631	100.0869	0.0709
66.0	439.5777998666667	1158.4801	546.5075	100.0808	0.0709
68.0	439.5382180444444	1158.3662	546.4518	100.0649	0.0709
70.0	439.49863622222216	1158.2524	546.3962	100.0588	0.0709
72.0	439.4590544	1158.1386	546.3406	100.0526	0.0709
74.0	439.41947257777775	1158.0246	546.285	100.0465	0.0709
76.0	439.3798907555556	1157.9108	546.2294	100.0404	0.0709
78.0	439.3403089333333	1157.797	546.1738	100.0342	0.0709
80.0	439.30072711111114	1157.6831	546.1182	100.0281	0.0709
82.0	439.2611452888889	1157.5692	546.0626	100.0123	0.0709
84.0	439.2215634666666	1157.4554	546.007	100.0061	0.0709
86.0	439.1819816444444	1157.3415	545.9514	100.0	0.0709
88.0	439.1423998222222	1157.2276	545.8958	99.9939	0.0709
90.0	439.102818	1157.1138	545.8402	99.9877	0.0709
92.0	439.0632361777778	1156.9999	545.7845	99.9816	0.0709
94.0	439.0236543555555	1156.886	545.7289	99.9754	0.071
96.0	438.98407253333335	1156.7722	545.6733	99.9596	0.071
98.0	438.9444907111111	1156.6584	545.6177	99.9535	0.071
100.0	438.90490888888894	1156.5444	545.562	99.9473	0.071
102.0	438.8653270666667	1156.4306	545.5064	99.9412	0.071
104.0	438.82574524444436	1156.3167	545.4508	99.935	0.071
106.0	438.7861634222222	1156.203	545.3953	99.9289	0.071
108.0	438.74658159999996	1156.089	545.3396	99.9131	0.071
110.0	438.70699977777775	1155.9752	545.284	99.9069	0.071
112.0	438.6674179555555	1155.8613	545.2285	99.9008	0.071
114.0	438.62783613333335	1155.7474	545.1728	99.8947	0.071
116.0	438.5882543111111	1155.6336	545.1172	99.8885	0.071
118.0	438.54867248888894	1155.5198	545.0616	99.8824	0.071
120.0	438.5090906666666	1155.4059	545.006	99.8762	0.071
122.0	438.4695088444444	1155.292	544.9504	99.8604	0.071
124.0	438.4299270222222	1155.1781	544.8947	99.8543	0.071
126.0	438.39034519999996	1155.0642	544.8392	99.8481	0.071
128.0	438.3507633777777	1154.9504	544.7836	99.842	0.071
130.0	438.31118155555555	1154.8366	544.728	99.8359	0.071
132.0	438.2715997333333	1154.7226	544.6723	99.8297	0.071
134.0	438.23201791111114	1154.6088	544.6167	99.8236	0.071
136.0	438.1924360888888	1154.495	544.5611	99.8077	0.071
138.0	438.1528542666667	1154.3812	544.5055	99.8016	0.071
140.0	438.1132724444444	1154.2672	544.4498	99.7955	0.071
142.0	438.07369062222216	1154.1534	544.3943	99.7893	0.0711
144.0	438.03410879999996	1154.0395	544.3386	99.7832	0.0711
146.0	437.99452697777775	1153.9257	544.283	99.777	0.0711
148.0	437.95494515555555	1153.8117	544.2274	99.7709	0.0711
