temp,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
0.0,1054.086,134.283,134.283,0.0,0.0,0.0,134.283,1054.086,134.283,0.0,0.0,0.0,134.283,134.283,1054.086,0.0,0.0,0.0,0.0,0.0,0.0,568.352,0.0,0.0,0.0,0.0,0.0,0.0,568.352,0.0,0.0,0.0,0.0,0.0,0.0,568.352
2.0,1053.9902226666666,134.27151593333332,134.27151593333332,0.0,0.0,0.0,134.27151593333332,1053.9902226666666,134.27151593333332,0.0,0.0,0.0,134.27151593333332,134.27151593333332,1053.9902226666666,0.0,0.0,0.0,0.0,0.0,0.0,568.2916798666666,0.0,0.0,0.0,0.0,0.0,0.0,568.2916798666666,0.0,0.0,0.0,0.0,0.0,0.0,568.2916798666666
4.0,1053.8944453333334,134.26003186666665,134.26003186666665,0.0,0.0,0.0,134.26003186666665,1053.8944453333334,134.26003186666665,0.0,0.0,0.0,134.26003186666665,134.26003186666665,1053.8944453333334,0.0,0.0,0.0,0.0,0.0,0.0,568.2313597333333,0.0,0.0,0.0,0.0,0.0,0.0,568.2313597333333,0.0,0.0,0.0,0.0,0.0,0.0,568.2313597333333
6.0,1053.798668,134.24854779999998,134.24854779999998,0.0,0.0,0.0,134.24854779999998,1053.798668,134.24854779999998,0.0,0.0,0.0,134.24854779999998,134.24854779999998,1053.798668,0.0,0.0,0.0,0.0,0.0,0.0,568.1710396,0.0,0.0,0.0,0.0,0.0,0.0,568.1710396,0.0,0.0,0.0,0.0,0.0,0.0,568.1710396
8.0,1053.7028906666667,134.23706373333331,134.23706373333331,0.0,0.0,0.0,134.23706373333331,1053.7028906666667,134.23706373333331,0.0,0.0,0.0,134.23706373333331,134.23706373333331,1053.7028906666667,0.0,0.0,0.0,0.0,0.0,0.0,568.1107194666666,0.0,0.0,0.0,0.0,0.0,0.0,568.1107194666666,0.0,0.0,0.0,0.0,0.0,0.0,568.1107194666666
10.0,1053.6071133333332,134.22557966666665,134.22557966666665,0.0,0.0,0.0,134.22557966666665,1053.6071133333332,134.22557966666665,0.0,0.0,0.0,134.22557966666665,134.22557966666665,1053.6071133333332,0.0,0.0,0.0,0.0,0.0,0.0,568.0503993333333,0.0,0.0,0.0,0.0,0.0,0.0,568.0503993333333,0.0,0.0,0.0,0.0,0.0,0.0,568.0503993333333
12.0,1053.511336,134.21409559999998,134.21409559999998,0.0,0.0,0.0,134.21409559999998,1053.511336,134.21409559999998,0.0,0.0,0.0,134.21409559999998,134.21409559999998,1053.511336,0.0,0.0,0.0,0.0,0.0,0.0,567.9900792,0.0,0.0,0.0,0.0,0.0,0.0,567.9900792,0.0,0.0,0.0,0.0,0.0,0.0,567.9900792
14.0,1053.4155586666666,134.2026115333333,134.2026115333333,0.0,0.0,0.0,134.2026115333333,1053.4155586666666,134.2026115333333,0.0,0.0,0.0,134.2026115333333,134.2026115333333,1053.4155586666666,0.0,0.0,0.0,0.0,0.0,0.0,567.9297590666666,0.0,0.0,0.0,0.0,0.0,0.0,567.9297590666666,0.0,0.0,0.0,0.0,0.0,0.0,567.9297590666666
16.0,1053.3197813333334,134.19112746666664,134.19112746666664,0.0,0.0,0.0,134.19112746666664,1053.3197813333334,134.19112746666664,0.0,0.0,0.0,134.19112746666664,134.19112746666664,1053.3197813333334,0.0,0.0,0.0,0.0,0.0,0.0,567.8694389333333,0.0,0.0,0.0,0.0,0.0,0.0,567.8694389333333,0.0,0.0,0.0,0.0,0.0,0.0,567.8694389333333
18.0,1053.224004,134.17964339999997,134.17964339999997,0.0,0.0,0.0,134.17964339999997,1053.224004,134.17964339999997,0.0,0.0,0.0,134.17964339999997,134.17964339999997,1053.224004,0.0,0.0,0.0,0.0,0.0,0.0,567.8091188,0.0,0.0,0.0,0.0,0.0,0.0,567.8091188,0.0,0.0,0.0,0.0,0.0,0.0,567.8091188
