T	K	Eh	Gh	hc	nu
0.0	440.884	1162.2373	548.3426	100.322	0.0708
2.0	440.8444181777777	1162.1234	548.287	100.3158	0.0708
4.0	440.80498373573477	1162.0097	548.2313	100.3097	0.0708
6.0	440.7653343507373	1161.8958	548.1757	100.3036	0.0708
8.0	440.7256892612448	1161.782	548.1201	100.2974	0.0708
10.0	440.6861006741751	1161.6681	548.0645	100.2913	0.0708
12.0	440.646513170217	1161.5543	548.0089	100.2755	0.0708
14.0	440.60693953104527	1161.4403	547.9532	100.2693	0.0708
16.0	440.5673498992799	1161.3264	547.8976	100.2632	0.0708
18.0	440.5277733645591	1161.2126	547.842	100.2571	0.0708
20.0	440.4881824514041	1161.0988	547.7865	100.2509	0.0708
22.0	440.44860671643204	1160.9849	547.7308	100.2448	0.0708
24.0	440.4090341292656	1160.871	547.6752	100.2387	0.0708
26.0	440.3694374126729	1160.7572	547.6196	100.2228	0.0708
28.0	440.3298897641321	1160.6434	547.564	100.2167	0.0708
30.0	440.2903050224345	1160.5296	547.5084	100.2106	0.0708
32.0	440.2507256241482	1160.4156	547.4528	100.2044	0.0708
34.0	440.21115825858084	1160.3018	547.3972	100.1983	0.0708
36.0	440.1715823315006	1160.188	547.3416	100.1922	0.0708
38.0	440.1320390424606	1160.0742	547.286	100.186	0.0708
40.0	440.09243551814	1159.9602	547.2304	100.1702	0.0708
42.0	440.0529175037771	1159.8464	547.1747	100.1641	0.0708
44.0	440.0133173485984	1159.7326	547.1192	100.1579	0.0708
46.0	439.97378085442546	1159.6188	547.0636	100.1518	0.0709
48.0	439.93421981099755	1159.505	547.0079	100.1457	0.0709
50.0	439.8946906047247	1159.3911	546.9523	100.1395	0.0709
52.0	439.85513277400463	1159.2773	546.8967	100.1334	0.0709
54.0	439.8156093951554	1159.1634	546.8411	100.1176	0.0709
56.0	439.77604722569305	1159.0496	546.7855	100.1114	0.0709
58.0	439.7365454394541	1158.9358	546.7298	100.1053	0.0709
60.0	439.6970449337894	1158.822	546.6742	100.0991	0.0709
62.0	439.6574917054001	1158.7082	546.6186	100.093	0.0709
64.0	439.61799133946926	1158.5945	546.5631	100.0869	0.0709
66.0	439.5785337345905	1158.4806	546.5075	100.0808	0.0709
68.0	439.5390335781736	1158.3668	546.4518	100.0649	0.0709
70.0	439.4995021329493	1158.253	546.3962	100.0588	0.0709
72.0	439.4601135460196	1158.1394	546.3406	100.0526	0.0709
74.0	439.4206013685027	1158.0255	546.285	100.0465	0.0709
76.0	439.3811944387228	1157.9118	546.2294	100.0404	0.0709
78.0	439.3417060482631	1157.798	546.1738	100.0342	0.0709
80.0	439.30231973625496	1157.6843	546.1182	100.0184	0.0709
82.0	439.2629036766777	1157.5706	546.0626	100.0123	0.0709
84.0	439.2234724249453	1157.4568	546.007	100.0061	0.0709
86.0	439.18411249099194	1157.3431	545.9514	100.0	0.0709
88.0	439.1447352453703	1157.2294	545.8958	99.9939	0.0709
90.0	439.1053311606272	1157.1157	545.8402	99.9877	0.0709
92.0	439.06608497703195	1157.0021	545.7845	99.9816	0.0709
94.0	439.0266894336576	1156.8884	545.7289	99.9657	0.071
96.0	438.98743807927485	1156.7748	545.6733	99.9596	0.071
98.0	438.9481796905255	1156.6612	545.6177	99.9535	0.071
100.0	438.90887868856515	1156.5475	545.562	99.9473	0.071
102.0	438.8696350837972	1156.4338	545.5064	99.9412	0.071
104.0	438.83047945367235	1156.3204	545.4508	99.935	0.071
106.0	438.7912836630039	1156.2069	545.3953	99.9192	0.071
108.0	438.7520831010732	1156.0933	545.3396	99.9131	0.071
110.0	438.71297804247274	1155.9798	545.284	99.9069	0.071
112.0	438.6738262704162	1155.8662	545.2285	99.9008	0.071
114.0	438.6348109182127	1155.7528	545.1728	99.8947	0.071
116.0	438.5957903905133	1155.6394	545.1172	99.8885	0.071
118.0	438.5566713594521	1155.5259	545.0616	99.8824	0.071
120.0	438.51768407238455	1155.4126	545.006	99.8666	0.071
122.0	438.4788792973191	1155.2992	544.9504	99.8604	0.071
124.0	438.43988663607644	1155.1858	544.8947	99.8543	0.071
126.0	438.40103266058486	1155.0725	544.8392	99.8481	0.071
128.0	438.3622100277534	1154.9592	544.7836	99.842	0.071
130.0	438.32341779831313	1154.846	544.728	99.8359	0.071
132.0	438.2846807549093	1154.7327	544.6723	99.82	0.071
134.0	438.24597992415397	1154.6196	544.6167	99.8139	0.071
136.0	438.2072745789407	1154.5064	544.5611	99.8077	0.0711
138.0	438.16877672479717	1154.3934	544.5055	99.8016	0.0711
140.0	438.1301132051351	1154.2802	544.4498	99.7955	0.0711
142.0	438.09163336542105	1154.1672	544.3943	99.7796	0.0711
144.0	438.0533263431696	1154.0543	544.3386	99.7735	0.0711
146.0	438.01480243501913	1153.9413	544.283	99.7674	0.0711
148.0	437.9765109030215	1153.8284	544.2274	99.7612	0.0711
